TRANSECT_CODE,YEAR,MONTH,DAY,WEEKNO,COUNT
1,2000,7,17,16,7
1,2000,7,26,17,4
1,2000,7,31,18,7
1,2000,8,7,19,4
1,2000,8,15,20,10
1,2000,8,22,21,2
1,2000,8,29,22,1
1,2000,9,4,23,1
1,2001,6,25,13,2
1,2001,7,2,14,7
1,2001,7,9,15,9
1,2001,7,16,16,4
1,2001,7,23,17,7
1,2001,8,1,18,9
1,2001,8,10,19,13
1,2001,8,13,20,8
1,2001,8,23,21,4
1,2001,8,28,22,2
1,2002,6,17,12,12
1,2002,6,26,13,11
1,2002,7,4,14,14
1,2002,7,13,15,10
1,2002,7,18,16,13
1,2002,7,24,17,13
1,2002,7,29,18,7
1,2002,8,11,19,4
1,2002,8,15,20,2
1,2002,8,21,21,1
1,2002,9,1,22,1
1,2003,6,9,10,1
1,2003,6,13,11,1
1,2003,6,19,12,12
1,2003,6,28,13,10
1,2003,7,7,14,12
1,2003,7,10,15,17
1,2003,7,16,16,11
1,2003,7,24,17,19
1,2003,8,2,18,17
1,2003,8,7,19,6
1,2003,8,12,20,3
1,2003,8,20,21,1
1,2003,8,26,22,1
1,2004,6,22,12,3
1,2004,7,1,14,24
1,2004,7,6,14,11
1,2004,7,15,16,20
1,2004,7,22,17,14
1,2004,7,27,17,24
1,2004,8,3,18,48
1,2004,8,11,19,13
1,2004,8,17,20,3
1,2004,8,26,22,1
1,2004,9,2,23,1
1,2005,6,17,12,2
1,2005,6,28,13,2
1,2005,7,11,15,9
1,2005,7,15,16,8
1,2005,7,28,17,7
1,2005,8,3,18,14
1,2005,8,9,19,23
1,2005,8,15,20,15
1,2005,8,21,21,15
1,2005,8,30,22,1
1,2005,9,2,23,3
1,2006,6,20,12,1
1,2006,6,29,13,6
1,2006,7,4,14,6
1,2006,7,12,15,14
1,2006,7,18,16,23
1,2006,7,27,17,12
1,2006,8,4,18,9
1,2006,8,8,19,4
1,2006,8,16,20,3
1,2006,8,21,21,2
1,2006,8,30,22,1
1,2007,6,12,11,2
1,2007,6,21,12,7
1,2007,7,7,14,8
1,2007,7,10,15,5
1,2007,7,18,16,10
1,2007,7,27,17,4
1,2007,8,1,18,8
1,2007,8,8,19,8
1,2007,8,17,20,12
1,2007,8,29,22,1
1,2007,9,11,24,1
1,2008,6,17,12,2
1,2008,6,24,13,1
1,2008,7,1,14,5
1,2008,7,14,15,3
1,2008,7,16,16,7
1,2008,7,24,17,7
1,2008,8,4,18,6
1,2008,8,11,19,27
1,2008,8,14,20,5
1,2008,8,29,22,3
1,2009,6,4,10,1
1,2009,6,22,12,1
1,2009,6,24,13,3
1,2009,7,2,14,10
1,2009,7,10,15,3
1,2009,7,18,16,4
1,2009,7,23,17,6
1,2009,8,2,18,10
1,2009,8,5,19,4
1,2009,8,16,20,3
1,2009,8,19,21,4
1,2009,8,27,22,4
1,2009,9,2,23,1
1,2010,6,16,11,1
1,2010,6,22,12,1
1,2010,6,26,13,1
1,2010,7,7,14,4
1,2010,7,14,15,4
1,2010,7,20,16,5
1,2010,7,25,17,4
1,2010,7,29,18,4
1,2010,8,9,19,4
1,2010,8,15,20,4
1,2010,8,22,21,2
1,2010,8,31,22,2
1,2011,6,2,9,2
1,2011,6,15,11,3
1,2011,6,23,12,3
1,2011,6,30,13,2
1,2011,7,5,14,6
1,2011,7,10,15,6
1,2011,7,19,16,7
1,2011,7,27,17,9
1,2011,8,2,18,10
1,2011,8,11,19,4
1,2011,8,14,20,3
1,2011,8,19,21,2
1,2012,6,26,13,1
1,2012,7,5,14,4
1,2012,7,12,15,10
1,2012,7,17,16,7
1,2012,7,25,17,13
1,2012,8,4,18,15
1,2012,8,11,19,11
1,2012,8,18,20,4
1,2012,8,25,21,4
1,2012,9,3,23,2
1,2012,9,15,24,1
1,2013,6,30,13,1
1,2013,7,6,14,4
1,2013,7,15,16,13
1,2013,7,27,17,23
1,2013,8,3,18,39
1,2013,8,11,19,8
1,2013,8,25,21,7
1,2013,9,7,23,2
1,2014,6,15,11,2
1,2014,6,21,12,4
1,2014,6,28,13,4
1,2014,7,5,14,6
1,2014,7,13,15,4
1,2014,7,19,16,8
1,2014,7,26,17,13
1,2014,8,2,18,11
1,2014,8,9,19,4
1,2014,8,16,20,2
1,2015,6,29,13,8
1,2015,7,4,14,17
1,2015,7,11,15,22
1,2015,7,19,16,35
1,2015,7,25,17,22
1,2015,8,1,18,8
1,2015,8,8,19,8
1,2015,8,15,20,4
1,2015,8,22,21,3
1,2015,8,28,22,1
2,1976,6,25,13,3
2,1976,7,6,14,2
2,1976,7,13,15,4
2,1976,7,21,16,4
2,1976,7,26,17,2
2,1976,8,2,18,2
2,1976,8,6,19,2
2,1976,8,12,20,1
2,1976,8,23,21,1
2,1977,7,14,15,1
2,1977,7,18,16,1
2,1977,7,26,17,2
2,1977,7,29,18,2
2,1977,8,5,19,5
2,1977,8,15,20,1
2,1977,8,26,22,1
2,1978,6,28,13,2
2,1978,7,7,14,2
2,1978,7,11,15,2
2,1978,7,17,16,3
2,1978,7,24,17,3
2,1978,8,3,18,5
2,1978,8,11,19,1
2,1978,8,16,20,1
2,1979,6,26,13,1
2,1979,7,3,14,1
2,1979,7,10,15,6
2,1979,7,16,16,5
2,1979,7,24,17,5
2,1979,7,30,18,5
2,1979,8,6,19,2
2,1979,8,16,20,1
2,1979,8,20,21,2
2,1979,8,28,22,1
2,1980,6,18,12,1
2,1980,6,21,12,1
2,1980,6,25,13,3
2,1980,7,3,14,4
2,1980,7,11,15,6
2,1980,7,21,16,4
2,1980,7,30,18,6
2,1980,8,3,18,3
2,1980,8,10,19,5
2,1980,8,13,20,4
2,1980,8,21,21,3
2,1980,8,28,22,1
2,1981,6,30,13,3
2,1981,7,3,14,3
2,1981,7,8,15,3
2,1981,7,15,16,7
2,1981,7,30,18,3
2,1981,8,10,19,3
2,1981,8,12,20,4
2,1981,8,23,21,4
2,1981,9,2,23,1
2,1982,6,16,11,2
2,1982,6,17,12,4
2,1982,7,2,14,8
2,1982,7,8,15,6
2,1982,8,2,18,7
2,1982,8,9,19,3
2,1982,8,19,21,1
2,1982,8,28,22,1
2,1983,6,29,13,2
2,1983,7,5,14,5
2,1983,7,11,15,9
2,1983,7,15,16,7
2,1983,7,27,17,6
2,1983,8,1,18,3
2,1983,8,9,19,5
2,1983,8,15,20,2
2,1984,7,5,14,11
2,1984,7,12,15,8
2,1984,7,16,16,7
2,1984,7,23,17,10
2,1984,7,30,18,4
2,1984,8,6,19,2
2,1984,8,13,20,2
2,1984,8,22,21,3
2,1985,7,10,15,4
2,1985,7,17,16,5
2,1985,7,23,17,2
2,1985,8,1,18,3
2,1985,8,8,19,2
2,1985,8,21,21,1
2,1985,8,26,22,2
2,1985,9,5,23,1
2,1985,9,9,24,2
2,1986,6,24,13,2
2,1986,7,1,14,3
2,1986,7,8,15,2
2,1986,7,15,16,2
2,1986,7,24,17,3
2,1986,7,29,18,2
2,1986,8,5,19,2
2,1986,8,13,20,2
2,1986,8,20,21,2
2,1986,9,2,23,1
2,1987,8,11,19,3
2,1987,8,18,20,2
2,1987,8,19,21,3
2,1987,8,28,22,1
2,1988,7,20,16,4
2,1988,8,3,18,3
2,1988,8,5,19,1
2,1988,8,12,20,2
2,1989,6,21,12,6
2,1989,6,30,13,3
2,1989,7,4,14,2
2,1989,7,11,15,3
2,1989,7,20,16,7
2,1989,7,24,17,4
2,1989,8,2,18,11
2,1989,8,8,19,5
2,1989,8,18,20,1
2,1990,6,15,11,2
2,1990,6,20,12,2
2,1990,6,26,13,2
2,1990,7,3,14,2
2,1990,7,12,15,6
2,1990,7,17,16,5
2,1990,7,23,17,2
2,1990,8,8,19,1
2,1991,7,2,14,2
2,1991,7,4,14,2
2,1991,7,10,15,6
2,1991,7,17,16,13
2,1991,7,25,17,9
2,1991,7,29,18,3
2,1991,8,7,19,5
2,1991,8,13,20,5
2,1991,8,21,21,5
2,1991,8,29,22,1
2,1991,9,4,23,1
2,1992,6,17,12,4
2,1992,6,23,12,5
2,1992,6,24,13,6
2,1992,6,29,13,9
2,1992,7,6,14,7
2,1992,7,14,15,9
2,1992,7,16,16,9
2,1992,7,23,17,13
2,1992,7,29,18,7
2,1992,8,6,19,5
2,1992,8,14,20,5
2,1992,8,17,20,3
2,1992,8,19,21,2
2,1993,6,25,13,2
2,1993,7,6,14,9
2,1993,7,13,15,6
2,1993,7,19,16,8
2,1993,7,22,17,7
2,1993,7,30,18,5
2,1993,8,6,19,4
2,1993,8,13,20,2
2,1993,8,16,20,2
2,1993,8,19,21,4
2,1993,8,27,22,1
2,1994,6,24,13,1
2,1994,7,1,14,7
2,1994,7,2,14,13
2,1994,7,17,16,10
2,1994,7,22,17,6
2,1994,7,30,18,3
2,1994,8,5,19,3
2,1994,8,22,21,1
2,1996,6,25,13,1
2,1996,7,2,14,1
2,1996,7,10,15,5
2,1996,7,18,16,7
2,1996,7,22,17,5
2,1996,7,30,18,3
2,1996,8,5,19,2
2,1996,8,15,20,1
2,1996,8,19,21,1
2,1996,8,27,22,1
2,1997,6,18,12,2
2,1997,7,7,14,3
2,1997,7,10,15,3
2,1997,7,18,16,3
2,1997,7,21,16,2
2,1997,7,23,17,4
2,1997,7,29,18,4
2,1997,8,8,19,3
2,1997,8,13,20,1
2,1997,8,19,21,1
2,1998,6,24,13,1
2,1998,7,1,14,2
2,1998,7,8,15,3
2,1998,7,17,16,2
2,1998,7,22,17,3
2,1998,7,31,18,3
2,1998,8,7,19,2
2,1998,8,19,21,1
2,1998,8,27,22,1
2,1999,6,14,11,1
2,1999,6,18,12,1
2,1999,6,25,13,2
2,1999,7,2,14,3
2,1999,7,9,15,4
2,1999,7,19,16,7
2,1999,7,23,17,5
2,1999,7,30,18,2
2,1999,8,5,19,2
2,1999,8,13,20,2
2,2000,6,19,12,1
2,2000,7,6,14,7
2,2000,7,12,15,5
2,2000,7,17,16,6
2,2000,7,26,17,7
2,2000,8,1,18,4
2,2000,8,7,19,3
2,2000,8,15,20,3
2,2000,8,22,21,1
2,2000,8,29,22,2
2,2001,7,2,14,2
2,2001,7,9,15,3
2,2001,7,16,16,4
2,2001,7,24,17,5
2,2001,8,1,18,5
2,2001,8,10,19,3
2,2001,8,13,20,2
2,2001,8,21,21,2
2,2001,8,28,22,1
2,2002,6,25,13,2
2,2002,7,4,14,4
2,2002,7,12,15,2
2,2002,7,18,16,3
2,2002,7,25,17,3
2,2002,7,29,18,5
2,2002,8,6,19,3
2,2002,8,15,20,3
2,2002,8,21,21,1
2,2003,6,20,12,1
2,2003,7,4,14,1
2,2003,7,11,15,3
2,2003,7,15,16,3
2,2003,7,24,17,7
2,2003,7,31,18,2
2,2003,8,5,19,2
2,2003,8,13,20,2
2,2003,8,19,21,1
2,2003,8,26,22,1
2,2004,6,22,12,1
2,2004,7,6,14,1
2,2004,7,13,15,2
2,2004,7,19,16,2
2,2004,7,28,17,3
2,2004,8,6,19,2
2,2004,8,11,19,3
2,2004,8,17,20,2
2,2005,7,11,15,3
2,2005,7,15,16,2
2,2005,7,29,18,2
2,2005,8,9,19,5
2,2005,8,15,20,2
2,2005,8,30,22,1
2,2005,9,5,23,1
2,2006,6,29,13,2
2,2006,7,3,14,1
2,2006,7,12,15,1
2,2006,7,19,16,2
2,2006,7,25,17,2
2,2006,8,4,18,2
2,2006,8,9,19,1
2,2006,8,16,20,1
2,2006,8,30,22,1
2,2007,6,20,12,1
2,2007,7,9,15,1
2,2007,7,15,16,1
2,2007,8,1,18,1
2,2007,8,10,19,2
2,2008,7,1,14,6
2,2008,7,10,15,1
2,2008,7,16,16,2
2,2008,7,23,17,2
2,2008,7,29,18,2
2,2008,8,11,19,2
2,2008,8,14,20,3
2,2008,8,22,21,1
2,2008,8,28,22,1
2,2009,6,17,12,2
2,2009,6,24,13,2
2,2009,7,2,14,3
2,2009,7,10,15,3
2,2009,7,18,16,4
2,2009,7,23,17,2
2,2009,8,2,18,2
2,2009,8,16,20,2
2,2009,8,27,22,1
2,2010,6,22,12,1
2,2010,6,26,13,2
2,2010,7,14,15,2
2,2010,7,20,16,4
2,2010,7,28,17,3
2,2010,8,3,18,3
2,2010,8,10,19,3
2,2010,8,18,20,2
2,2010,8,22,21,2
2,2010,9,12,24,1
2,2011,6,16,11,1
2,2011,6,23,12,1
2,2011,6,30,13,1
2,2011,7,5,14,3
2,2011,7,14,15,3
2,2011,7,19,16,1
2,2011,7,27,17,4
2,2011,8,2,18,3
2,2011,8,14,20,1
2,2012,6,26,13,2
2,2012,7,5,14,2
2,2012,7,12,15,2
2,2012,7,17,16,2
2,2012,7,23,17,2
2,2012,8,4,18,2
2,2012,8,11,19,2
2,2012,8,18,20,2
2,2012,8,25,21,1
2,2013,7,1,14,1
2,2013,7,8,15,2
2,2013,7,15,16,3
2,2013,7,27,17,4
2,2013,8,3,18,4
2,2013,8,11,19,3
2,2013,8,25,21,2
2,2013,9,7,23,1
2,2014,6,13,11,1
2,2014,6,20,12,1
2,2014,6,30,13,2
2,2014,7,6,14,2
2,2014,7,12,15,4
2,2014,7,20,16,1
2,2014,7,22,17,1
2,2014,8,2,18,2
2,2014,8,9,19,2
2,2015,6,29,13,1
2,2015,7,4,14,2
2,2015,7,11,15,2
2,2015,7,18,16,3
2,2015,8,1,18,4
2,2015,8,8,19,2
2,2015,8,15,20,2
3,1976,6,22,12,3
3,1976,6,26,13,17
3,1976,7,4,14,16
3,1976,7,11,15,23
3,1976,7,18,16,14
3,1976,7,26,17,8
3,1976,8,2,18,5
3,1976,8,9,19,3
3,1976,8,13,20,4
3,1976,8,24,21,1
3,1976,8,29,22,1
3,1977,7,14,15,1
3,1977,7,17,16,1
3,1977,7,24,17,2
3,1977,7,31,18,18
3,1977,8,11,19,8
3,1977,8,16,20,7
3,1977,8,23,21,7
3,1977,8,28,22,2
3,1977,9,3,23,1
3,1978,7,20,16,6
3,1978,7,25,17,5
3,1978,7,29,18,9
3,1978,8,9,19,7
3,1978,8,13,20,13
3,1978,8,20,21,6
3,1978,8,28,22,9
3,1978,9,3,23,5
3,1978,9,11,24,1
3,1979,7,4,14,2
3,1979,7,10,15,3
3,1979,7,17,16,13
3,1979,7,22,17,13
3,1979,8,1,18,9
3,1979,8,6,19,9
3,1979,8,12,20,12
3,1979,8,19,21,14
3,1979,8,28,22,5
3,1979,9,2,23,4
3,1979,9,11,24,1
3,1980,6,18,12,1
3,1980,6,26,13,1
3,1980,7,3,14,3
3,1980,7,11,15,3
3,1980,7,16,16,3
3,1980,7,22,17,6
3,1980,7,30,18,21
3,1980,8,8,19,16
3,1980,8,14,20,12
3,1980,8,20,21,13
3,1980,8,26,22,7
3,1980,9,2,23,1
3,1982,7,13,15,2
3,1982,7,20,16,4
3,1982,8,8,19,2
3,1982,8,16,20,2
3,1982,8,23,21,3
3,1982,8,30,22,2
3,1982,9,7,23,11
3,1982,9,15,24,7
3,1984,7,8,15,1
3,1984,7,16,16,12
3,1984,7,22,17,10
3,1984,7,29,18,2
3,1985,7,14,15,1
3,1985,7,18,16,6
3,1985,7,21,16,5
3,1985,7,23,17,6
3,1985,8,1,18,10
3,1985,8,6,19,7
3,1985,8,8,19,7
3,1985,8,15,20,2
3,1985,8,21,21,4
3,1985,8,29,22,2
3,1985,9,9,24,1
3,1986,7,2,14,6
3,1986,7,11,15,14
3,1986,7,15,16,10
3,1986,8,1,18,15
3,1986,8,10,19,7
3,1986,8,16,20,7
3,1986,8,21,21,13
3,1986,8,31,22,1
3,1986,9,4,23,1
3,1987,7,6,14,5
3,1987,7,14,15,9
3,1987,7,28,17,6
3,1987,8,10,19,5
3,1987,8,17,20,4
3,1987,8,28,22,2
3,1987,9,15,24,1
3,1988,6,30,13,2
3,1988,7,6,14,3
3,1988,7,12,15,3
3,1988,7,19,16,4
3,1988,7,26,17,10
3,1988,8,3,18,8
3,1988,8,10,19,4
3,1988,8,17,20,6
3,1989,5,29,9,1
3,1989,6,15,11,1
3,1989,6,23,12,2
3,1989,6,30,13,2
3,1989,7,6,14,9
3,1989,7,14,15,5
3,1989,7,19,16,8
3,1989,7,25,17,7
3,1989,8,4,18,9
3,1989,8,8,19,6
3,1989,8,18,20,2
3,1989,8,22,21,3
3,1989,8,30,22,3
3,1990,6,15,11,1
3,1990,6,27,13,3
3,1990,7,1,14,4
3,1990,7,17,16,20
3,1990,7,28,17,13
3,1990,8,1,18,4
3,1990,8,11,19,5
3,1990,8,25,21,1
3,1991,7,5,14,2
3,1991,7,11,15,4
3,1991,7,20,16,15
3,1991,8,3,18,23
3,1991,8,10,19,11
3,1991,8,17,20,21
3,1991,8,25,21,2
3,1991,8,31,22,1
3,1992,6,11,11,1
3,1992,6,23,12,6
3,1992,6,30,13,16
3,1992,7,11,15,20
3,1992,7,20,16,13
3,1992,7,25,17,16
3,1992,8,4,18,37
3,1992,8,11,19,5
3,1992,8,17,20,2
3,1992,9,7,23,1
3,1993,6,28,13,1
3,1993,7,5,14,8
3,1993,7,11,15,7
3,1993,7,24,17,17
3,1993,8,2,18,18
3,1993,8,6,19,19
3,1993,8,13,20,14
3,1993,8,29,22,2
3,1993,9,6,23,1
3,1994,6,24,13,1
3,1994,7,1,14,7
3,1994,7,7,14,13
3,1994,7,15,16,21
3,1994,7,20,16,16
3,1994,8,5,19,6
3,1994,8,13,20,16
3,1994,8,19,21,4
3,1994,8,24,21,2
3,1994,9,2,23,1
3,1995,6,19,12,1
3,1995,6,28,13,1
3,1995,7,5,14,4
3,1995,7,13,15,13
3,1995,7,20,16,30
3,1995,7,28,17,23
3,1995,8,4,18,19
3,1995,8,11,19,5
3,1995,8,18,20,10
3,1995,8,25,21,1
3,1996,6,23,12,1
3,1996,7,7,14,3
3,1996,7,13,15,8
3,1996,7,21,16,12
3,1996,7,28,17,9
3,1996,8,4,18,12
3,1996,8,11,19,5
3,1996,8,20,21,6
3,1996,9,1,22,1
3,1997,6,28,13,2
3,1997,7,8,15,8
3,1997,7,14,15,15
3,1997,7,21,16,10
3,1997,7,28,17,7
3,1997,8,4,18,10
3,1997,8,11,19,5
3,1997,8,19,21,3
3,1998,6,24,13,3
3,1998,7,15,16,7
3,1998,7,22,17,10
3,1998,7,29,18,11
3,1998,8,6,19,19
3,1998,8,14,20,5
3,1998,8,19,21,4
3,1999,6,2,9,1
3,1999,6,15,11,3
3,1999,6,24,13,3
3,1999,7,5,14,3
3,1999,7,11,15,6
3,1999,7,26,17,17
3,1999,8,5,19,7
3,1999,8,14,20,6
3,2000,6,24,13,1
3,2000,7,1,14,4
3,2000,7,8,15,4
3,2000,7,15,16,5
3,2000,7,19,16,5
3,2000,7,27,17,4
3,2000,8,4,18,10
3,2000,8,11,19,12
3,2000,8,15,20,7
3,2000,8,20,21,7
3,2000,8,26,22,3
3,2001,6,18,12,1
3,2001,7,4,14,9
3,2001,7,13,15,21
3,2001,7,15,16,18
3,2001,7,20,16,10
3,2001,7,22,17,10
3,2001,7,28,17,20
3,2001,8,3,18,17
3,2001,8,6,19,10
3,2001,8,12,20,14
3,2001,8,17,20,8
3,2001,8,24,21,1
3,2002,6,17,12,2
3,2002,6,26,13,3
3,2002,7,4,14,11
3,2002,7,11,15,10
3,2002,7,14,15,10
3,2002,7,18,16,10
3,2002,7,26,17,7
3,2002,8,2,18,3
3,2002,8,8,19,6
3,2002,8,11,19,3
3,2002,8,15,20,4
3,2002,8,24,21,2
3,2002,8,30,22,1
3,2003,6,16,11,1
3,2003,6,24,13,11
3,2003,7,11,15,13
3,2003,7,14,15,13
3,2003,7,21,16,15
3,2003,8,2,18,4
3,2003,8,8,19,5
3,2003,8,14,20,2
3,2003,8,19,21,2
3,2003,8,27,22,4
3,2004,5,18,7,3
3,2004,5,24,8,1
3,2004,6,6,10,3
3,2004,6,16,11,5
3,2004,6,22,12,3
3,2004,7,5,14,6
3,2004,7,14,15,5
3,2004,7,20,16,12
3,2004,7,27,17,9
3,2004,8,2,18,14
3,2004,8,7,19,15
3,2004,8,24,21,2
3,2004,9,1,22,1
3,2005,6,21,12,3
3,2005,6,28,13,14
3,2005,7,10,15,15
3,2005,7,13,15,22
3,2005,7,18,16,9
3,2005,7,28,17,24
3,2005,8,4,18,7
3,2005,8,11,19,10
3,2005,8,17,20,11
3,2005,8,23,21,3
3,2005,8,29,22,2
3,2006,6,21,12,3
3,2006,6,28,13,19
3,2006,7,4,14,13
3,2006,7,12,15,15
3,2006,7,21,16,18
3,2006,7,28,17,15
3,2006,8,4,18,18
3,2006,8,8,19,7
3,2006,8,16,20,6
3,2006,8,22,21,2
3,2006,9,2,23,2
3,2006,9,8,23,1
3,2007,6,13,11,1
3,2007,6,21,12,2
3,2007,6,27,13,4
3,2007,7,1,14,11
3,2007,7,15,16,11
3,2007,7,24,17,10
3,2007,7,29,18,7
3,2007,8,8,19,12
3,2007,8,17,20,6
3,2007,8,25,21,2
3,2008,6,25,13,9
3,2008,6,29,13,8
3,2008,7,1,14,16
3,2008,7,21,16,22
3,2008,7,27,17,12
3,2008,8,3,18,11
3,2008,8,11,19,5
3,2008,8,22,21,5
3,2009,6,12,11,1
3,2009,6,22,12,5
3,2009,6,30,13,15
3,2009,7,4,14,21
3,2009,7,14,15,18
3,2009,7,20,16,13
3,2009,7,31,18,16
3,2009,8,8,19,11
3,2009,8,18,20,4
3,2009,8,25,21,2
3,2010,6,22,12,2
3,2010,6,28,13,5
3,2010,7,11,15,7
3,2010,7,21,16,4
3,2010,7,28,17,5
3,2010,8,8,19,7
3,2010,8,20,21,3
3,2010,8,29,22,1
3,2011,6,14,11,5
3,2011,6,20,12,8
3,2011,6,29,13,15
3,2011,7,4,14,13
3,2011,7,11,15,18
3,2011,7,19,16,9
3,2011,7,28,17,15
3,2011,8,2,18,8
